NIMBLE_CUNA_ID,Name,Old Mailing Address,New Mailing Address
10000800,CU Central of Ontario Ltd,"2810 Matheson Blvd East, Mississauga, ON L4W04X7","2810 Matheson Blvd East, Mississauga, ON L4W 4X7"
10000803,Unigasco Community Credit Union Ltd,"40 Keil Dr S, Chatham, ON N7M03G8","40 Keil Dr S, Chatham, ON N7M 3G8"
10000804,Community First Credit Union Ltd,"289 Bay St, Sault Ste. Marie, ON P6A01W7","289 Bay St, Sault Ste. Marie, ON P6A 1W7"
10000805,Atlas and Civic Employees Credit Union Ltd,"247 East Main St, Welland, ON L3B03X1","247 East Main St, Welland, ON L3B 3X1"
10000806,Auto Workers Community Credit Union Ltd,"PO Box 158, Oshawa, ON L1H07L1","PO Box 158, Oshawa, ON L1H 7L1"
10000807,Finnish Credit Union Ltd,"191 Eglinton Ave East, Toronto, ON M4P01K1","191 Eglinton Ave East, Toronto, ON M4P 1K1"
10000808,Greater Toronto Area Savings and Credit Union Ltd,"PO Box 1019, Stouffville, ON L4A08A1","PO Box 1019, Stouffville, ON L4A 8A1"
10000809,La Federation des Caisses de l Ont,"214 chemin Montreal, Ottawa, ON K1L08L8","214 chemin Montreal, Ottawa, ON K1L 8L8"
10000811,Motor City Community Credit Union Ltd,"6701 Tecumseh Rd E, Windsor, ON N8T01E8","6701 Tecumseh Rd E, Windsor, ON N8T 1E8"
10000812,So-Use Credit Union Ltd,"2265 Bloor St West, Toronto, ON M6S01P1","2265 Bloor St West, Toronto, ON M6S 1P1"
10000813,St Catharines Civic Employees Credit Union Ltd,"82 Lake St, St Catharines, ON L2R05X4","82 Lake St, St Catharines, ON L2R 5X4"
10000814,St Stanislaus-St Casimirs Polish CU,"220 Roncevalles Ave, Toronto, ON M6R02L7","220 Roncevalles Ave, Toronto, ON M6R 2L7"
10000815,The Police Credit Union Ltd,"3650 Victoria Park Ave Ste 303, Toronto, ON M2H03P7","3650 Victoria Park Ave Ste 303, Toronto, ON M2H 3P7"
10000816,Ukrainian Credit Union Ltd,"295 College St, Toronto, ON M5T01S2","295 College St, Toronto, ON M5T 1S2"
10000817,Unilever Employees Credit Union Ltd,"1 Sunlight Park Rd, Toronto, ON M4M01B6","1 Sunlight Park Rd, Toronto, ON M4M 1B6"
10000818,Windsor Family CU Ltd,"2800 Tecumseh Rd East, Windsor, ON N8W01G4","2800 Tecumseh Rd East, Windsor, ON N8W 1G4"
10000852,FirstOntario Credit Union Ltd,"688 Queensdale Ave East, Hamilton, ON L8V01M1","688 Queensdale Ave East, Hamilton, ON L8V 1M1"
10000874,HEPCOE Credit Union,"777 Bay St 26th Flr, Toronto, ON M5G02C8","777 Bay St 26th Flr, Toronto, ON M5G 2C8"
10000896,Sudbury Regional Credit Union Ltd,"1 Gribble St, Copper Cliff, ON P0M01N0","1 Gribble St, Copper Cliff, ON P0M 1N0"
10000908,L Alliance des caisses de l Ont,"1870 Bond St Bag 3500, North Bay, ON P1B04V6","1870 Bond St Bag 3500, North Bay, ON P1B 4V6"
10000824,CU Central of British Columbia,"1441 Creekside Dr, Vancouver, BC V6J04S7","1441 Creekside Dr, Vancouver, BC V6J 4S7"
10000849,Fed des Caisses Desjardins Quebec,"100 Avenue des Commandeurs, Levis, QC G6V07N5","100 Avenue des Commandeurs, Levis, QC G6V 7N5"
10000902,CU Central Alberta Ltd,"#350 N-8500 MacLeod Trail SE, Calgary, AB T2H02N1","#350 N-8500 MacLeod Trail SE, Calgary, AB T2H 2N1"
10000903,CU Central of Saskatchewan,"PO Box 3030, Regina, SK S4P03G8","PO Box 3030, Regina, SK S4P 3G8"
10000904,CU Central of Manitoba,"400-317 Donald St, Winnipeg, MB R3B02H6","400-317 Donald St, Winnipeg, MB R3B 2H6"
10000905,CU Central of New Brunswick,"663 Pinewood Rd, Riverview, NB E1B05R6","663 Pinewood Rd, Riverview, NB E1B 5R6"
10000906,Atlantic Central,"PO Box 9200, Halifax, NS B3K05N3","PO Box 9200, Halifax, NS B3K 5N3"
10000907,CU Central of Prince Edward Island,"281 University Ave, Charlottetown, PE C1A04M3","281 University Ave, Charlottetown, PE C1A 4M3"
10000819,Community Credit Union Ltd,"4901 48th St, Red Deer, AB T4N06M4","4901 48th St, Red Deer, AB T4N 6M4"
10000820,Pioneer Credit Union Ltd,"PO Box 5460, High River, AB T1V01M6","PO Box 5460, High River, AB T1V 1M6"
10000821,SAFECU Credit Union Ltd,"11635 160th St, Edmonton, AB T5M03Z3","11635 160th St, Edmonton, AB T5M 3Z3"
10000822,Wainwright Credit Union Ltd,"502 10th St, Wainwright, AB T9W01P4","502 10th St, Wainwright, AB T9W 1P4"
10000823,Yellowhead Credit Union Ltd,"4707 49 Ave Ste 113, Stony Plain, AB T7Z02L6","4707 49 Ave Ste 113, Stony Plain, AB T7Z 2L6"
10000825,East Kootenay Community Credit Union,"920 Baker St, Cranbrook, BC V1C01A5","920 Baker St, Cranbrook, BC V1C 1A5"
10000827,Prospera CU,"500-32071 South Fraser Way, Abbotsford, BC V2T01W3","500-32071 South Fraser Way, Abbotsford, BC V2T 1W3"
10000828,Kootenay Savings CU,"300-1199 Cedar Ave, Trail, BC V1R04B8","300-1199 Cedar Ave, Trail, BC V1R 4B8"
10000829,Vancouver City Savings Credit Union,"PO Box 2120 Stn Terminal, Vancouver, BC V6A04G2","PO Box 2120 Stn Terminal, Vancouver, BC V6A 4G2"
10000830,Van-Tel Safeway Credit Union,"2626 East Hastings St, Vancouver, BC V5K01Z6","2626 East Hastings St, Vancouver, BC V5K 1Z6"
10000831,Assiniboine Credit Union,"PO Box 2, Winnipeg, MB R3C02G1","PO Box 2, Winnipeg, MB R3C 2G1"
10000832,Astra Credit Union,"1907 Portage Ave, Winnipeg, MB R3J00H9","1907 Portage Ave, Winnipeg, MB R3J 0H9"
10000833,Caisse Groupe Financier | Caisse Financial Group,"205 Provencher Boulevard, Winnipeg, MB R2H00G4","205 Provencher Boulevard, Winnipeg, MB R2H 0G4"
10000834,Carpathia Credit Union,"950 Main St 3rd Fl, Winnipeg, MB R2W03P4","950 Main St 3rd Fl, Winnipeg, MB R2W 3P4"
10000836,Steinbach CU,"PO Box 2200, Steinbach, MB R0A02A0","PO Box 2200, Steinbach, MB R0A 2A0"
10000837,Bergengren Credit Union,"257 Main St, Antigonish, NS B2G02C1","257 Main St, Antigonish, NS B2G 2C1"
10000838,Sydney Credit Union,"PO Box 1386, Sydney, NS B1P06K3","PO Box 1386, Sydney, NS B1P 6K3"
10000839,Central Credit Union,"512 Main St, O'Leary, PE C0B01V0","512 Main St, O'Leary, PE C0B 1V0"
10000840,Metro Credit Union,"PO Box 681, Charlottetown, PE C1A07L3","PO Box 681, Charlottetown, PE C1A 7L3"
10000842,Praire Centre Credit Union Ltd,"PO Box 940, Rosetown, SK S0L02V0","PO Box 940, Rosetown, SK S0L 2V0"
10000843,Raymore Savings and Credit Union Ltd,"PO Box 460, Raymore, SK S0A03J0","PO Box 460, Raymore, SK S0A 3J0"
10000845,St Marys Credit Union Ltd,"1515 20th St W, Saskatoon, SK S7M00Z5","1515 20th St W, Saskatoon, SK S7M 0Z5"
10000846,Weyburn Credit Union,"PO Box 1117, Weyburn, SK S4H02L3","PO Box 1117, Weyburn, SK S4H 2L3"
10000847,Bayview Credit Union,"54 Loch Lomond Rd, Saint John, NB E2J01X7","54 Loch Lomond Rd, Saint John, NB E2J 1X7"
10000848,Caisse Populaire de Shippigan Ltee,"212 Baul J D Gauthier, Shippagan, NB E0B02P0","212 Baul J D Gauthier, Shippagan, NB E0B 2P0"
10000948,Valley First Credit Union,"184 Main St 3rd Fl, Penticton, BC V2A08G7","184 Main St 3rd Fl, Penticton, BC V2A 8G7"
10000275,Coastal Community CU,"220 - 59 Wharf St, Nanaimo, BC V9R02X3","220 - 59 Wharf St, Nanaimo, BC V9R 2X3"
10000279,NorthShore CU,"1112 Lonsdale Ave Fl 3, North Vancouver, BC V7M02H2","1112 Lonsdale Ave Fl 3, North Vancouver, BC V7M 2H2"
10000306,Northern Credit Union,"681 Pine St, Sault Ste Marie, ON P6B03G2","681 Pine St, Sault Ste Marie, ON P6B 3G2"
10000326,Ganaraska Credit Union Ltd,"17  Queen St, Port Hope, ON L1A02Y8","17  Queen St, Port Hope, ON L1A 2Y8"
10000104,Apex Credit Union Ltd,"1301 16th Ave NW, Calgary, AB T2M00L4","1301 16th Ave NW, Calgary, AB T2M 0L4"
10000539,Greater Vancouver Community CU,"1801 Willingdon Ave, Burnaby, BC V5C05R3","1801 Willingdon Ave, Burnaby, BC V5C 5R3"
10000746,First Calgary Savings and Credit Union,"#200 510 - 16 Avenue N.E., Calgary, AB T2E01K4","#200 510 - 16 Avenue N.E., Calgary, AB T2E 1K4"
10000983,Lambton Financial CU Ltd,"1295 London Rd, Sarnia, ON N7S01P6","1295 London Rd, Sarnia, ON N7S 1P6"
10000996,Cambrian CU,"225 Broadway, Winnipeg, MB R3C05R4","225 Broadway, Winnipeg, MB R3C 5R4"
10001259,Hudson Bay Credit Union Ltd,"PO Box 538, Hudson Bay, SK S0E00Y0","PO Box 538, Hudson Bay, SK S0E 0Y0"
10001332,Peoples CU,"8034 Yonge St, Innisfil, ON L9S01L6","8034 Yonge St, Innisfil, ON L9S 1L6"
10001384,Kawartha CU,"14 Hunter Street East, Peterborough, ON K9J07B2","14 Hunter Street East, Peterborough, ON K9J 7B2"
10001385,Central 1 CU,"1441 Creekside Dr, Vancouver, BC V6J04S7","1441 Creekside Dr, Vancouver, BC V6J 4S7"
10001464,Coast Capital Savings CU,"15117 101 Ave Flr 4, Surrey, BC V3R08P7","15117 101 Ave Flr 4, Surrey, BC V3R 8P7"
10001492,Belgian-Alliance Credit Union,"1177 Portage Ave, Winnipeg, MB R3G00T2","1177 Portage Ave, Winnipeg, MB R3G 0T2"
10001507,Communication Technologies CU Ltd,"102-220 Yonge St, Toronto, ON M5B02H1","102-220 Yonge St, Toronto, ON M5B 2H1"
10001523,Chinook CU Ltd,"100 2nd Ave, Strathmore, AB T1P01K1","100 2nd Ave, Strathmore, AB T1P 1K1"
10001527,Conexus CU,"PO Box 1960 Stn Main, Regina, SK S4P04M1","PO Box 1960 Stn Main, Regina, SK S4P 4M1"
10001573,DUCA Financial Services CU Ltd,"5290 Yonge St, Toronto, ON M2N05P9","5290 Yonge St, Toronto, ON M2N 5P9"
10001616,Noventis CU,"PO Box 328, Arborg, MB R0C00A0","PO Box 328, Arborg, MB R0C 0A0"
10001639,East Coast Credit Union Ltd,"155 Ochterloney Street, Dartmouth, NS B2Y01C9","155 Ochterloney Street, Dartmouth, NS B2Y 1C9"
10001651,North Peace Savings and Credit Union,"10344 100th St, Fort St John, BC V1J03Z1","10344 100th St, Fort St John, BC V1J 3Z1"
10001266,Sharons Credit Union,"1055 Kingsway, Vancouver, BC V5V03C7","1055 Kingsway, Vancouver, BC V5V 3C7"
10001439,Healthcare & Municipal Employees CU,"209 Limeridge Road East, Hamilton, ON L9A02S3","209 Limeridge Road East, Hamilton, ON L9A 2S3"
10002957,Vancity Credit Union,"PO Box 2120, Vancouver, BC V6B05R8","PO Box 2120, Vancouver, BC V6B 5R8"
10001202,Unity Savings & Credit Union,"775 Strand Blvd, Kingston, ON K7P02S7","775 Strand Blvd, Kingston, ON K7P 2S7"
10001745,Libro Credit Union,"217 York St Fl 4, London, ON N6A05P9","217 York St Fl 4, London, ON N6A 5P9"
10001773,Bow Valley CU,"Box 876, Cochrane, AB T4C01A9","Box 876, Cochrane, AB T4C 1A9"
10002038,First West Credit Union,"6470 201 St, Langley, BC V2Y02X4","6470 201 St, Langley, BC V2Y 2X4"
10002279,Equity Credit Union,"299 Kingston Rd E Unit 1, Ajax, ON L1Z00K5","299 Kingston Rd E Unit 1, Ajax, ON L1Z 0K5"
10002953,Catalyst CU,"505 Main St N Box 340, Dauphin, MB R7N02V2","505 Main St N Box 340, Dauphin, MB R7N 2V2"
10002958,Servus CU,"151 Karl Clark Road NW, Edmonton, AB T6N01H5","151 Karl Clark Road NW, Edmonton, AB T6N 1H5"
10002959,Meridian CU,"75 Corporate Park Dr, St Catharines, ON L2S03W3","75 Corporate Park Dr, St Catharines, ON L2S 3W3"
10002960,Affinity CU,"PO Box 1330, Saskatoon, SK S7K03P4","PO Box 1330, Saskatoon, SK S7K 3P4"
10002961,Connect First CU,"200-510 16 Ave NE, Calgary, AB T2E01K4","200-510 16 Ave NE, Calgary, AB T2E 1K4"
10002962,Alterna Savings CU,"165 Attwell Dr, Toronto, ON M9W05Y5","165 Attwell Dr, Toronto, ON M9W 5Y5"
10002963,UNI Financial Cooperation FCU,"PO Box 5554, Caraquet, NB E1W01B7","PO Box 5554, Caraquet, NB E1W 1B7"
10002964,Blueshore Financial CU,"1250 Lonsdale Ave, North Vancouver, BC V7M02H6","1250 Lonsdale Ave, North Vancouver, BC V7M 2H6"
10002965,First Ontario CU,"970 S Service Rd Ste 301, Stoney Creek, ON L8E06A2","970 S Service Rd Ste 301, Stoney Creek, ON L8E 6A2"
10002968,Interior Savings CU,"300 - 678 Bernard Ave, Kelowna, BC V1Y06P3","300 - 678 Bernard Ave, Kelowna, BC V1Y 6P3"
10002969,Innovation CU,"PO Box 109, Swift Current, SK S9H03X3","PO Box 109, Swift Current, SK S9H 3X3"
10002970,Access CU,"Stanley Business Centre Unit 2 23111 PTH 14, Stanley, MB R6P00B1","Stanley Business Centre Unit 2 23111 PTH 14, Stanley, MB R6P 0B1"
10002971,Crosstown Civic CU,"1536 Regent Ave W, Winnipeg, MB R2C03B4","1536 Regent Ave W, Winnipeg, MB R2C 3B4"
10002972,Gulf & Fraser CU,"7375 Kingsway, Burnaby, BC V3N03B5","7375 Kingsway, Burnaby, BC V3N 3B5"
10002973,Your Neighbourhood CU,"38 Executive Pl, Kitchener, ON N2P02N4","38 Executive Pl, Kitchener, ON N2P 2N4"
10002974,Synergy CU,"4907 50 St, Lloydminster, SK S9V00N1","4907 50 St, Lloydminster, SK S9V 0N1"
10002975,Westoba CU Ltd,"220 10th St, Brandon, MB R7A04E8","220 10th St, Brandon, MB R7A 4E8"
10002976,Kindred CU,"1265 Strasburg Rd, Kitchener, ON N2R01S6","1265 Strasburg Rd, Kitchener, ON N2R 1S6"
10002977,Cornerstone CU,"Box 1210, Yorkton, SK S3N02X3","Box 1210, Yorkton, SK S3N 2X3"
10002978,Tandia Financial CU,"75 James St S, Hamilton, ON L8P02Y9","75 James St S, Hamilton, ON L8P 2Y9"
10002979,Vision CU,"5007 - 51 St, Camrose, AB T4V01S6","5007 - 51 St, Camrose, AB T4V 1S6"
10002980,Sunrise CU,"2305 Victoria Ave, Brandon, MB R7B04H7","2305 Victoria Ave, Brandon, MB R7B 4H7"
10002981,Northern Savings CU,"138 Third Ave W, Prince Ruper, BC V8J01K8","138 Third Ave W, Prince Ruper, BC V8J 1K8"
10003898,Coop Central De Credito Do Parana,"Visconde do Rio Branco 253, Curitiba, Paraná 80410-000","Visconde do Rio Branco 253, Curitiba, Paran� 80410-000"
10004062,Mountain View CU,"#401, 6501 - 51 Street, Olds, AB T4H01Y6","#401, 6501 - 51 Street, Olds, AB T4H 1Y6"
10004227,Reddy Kilowatt CU,"PO Box 126, Mount Pearl, NL A1N02C2","PO Box 126, Mount Pearl, NL A1N 2C2"
10002503,Sunova CU,"233 Main Street, Selkirk, MB R1A01S1","233 Main Street, Selkirk, MB R1A 1S1"
10004916,CCEC CU,"2248 Commercial Drive, Vancouver, BC V5N04B5","2248 Commercial Drive, Vancouver, BC V5N 4B5"
10044107,Churchbridge Credit Union,"103 Vincent Avenue East, Churchbridge, SK S0A00M0","103 Vincent Avenue East, Churchbridge, SK S0A 0M0"
10111362,Servus Credit Union Ltd,"151 Karl Clark Rd NW, Edmonton, AB T6N01H5","151 Karl Clark Rd NW, Edmonton, AB T6N 1H5"
10111253,Coast Capital Savings FCU,"9900 King George Blvd, Room 800, Surrey, BC V3Z00P9","9900 King George Blvd, Room 800, Surrey, BC V3Z 0P9"
10001177,United Communities Credit Union Ltd,"148 Talbot St N, Essex, ON N8M02C7","148 Talbot St N, Essex, ON N8M 2C7"
