NIMBLE_CUNA_ID,Name,Old Street Address,New Street Address
10001527,Conexus CU,"1960 Albert St Fl 2, Regina, SK S4P02T4","1960 Albert St Fl 2, Regina, SK S4P 2T4"
10001573,DUCA Financial Services CU Ltd,"5290 Yonge St, Toronto, ON M2N05P9","5290 Yonge St, Toronto, ON M2N 5P9"
10001616,Noventis CU,"250 Main St, Arborg, MB R0C00A0","250 Main St, Arborg, MB R0C 0A0"
10001639,East Coast Credit Union Ltd,"155 Ochterloney Street, Dartmouth, NS B2Y01C9","155 Ochterloney Street, Dartmouth, NS B2Y 1C9"
10001651,North Peace Savings and Credit Union,"10344 100th St, Fort St John, BC V1J03Z1","10344 100th St, Fort St John, BC V1J 3Z1"
10001121,Woodslee CU Ltd,"148 Talbot St N, Essex, ON N8M02C7","148 Talbot St N, Essex, ON N8M 2C7"
10001266,Sharons Credit Union,"1055 Kingsway, Vancouver, BC V5V03C7","1055 Kingsway, Vancouver, BC V5V 3C7"
10001439,Healthcare & Municipal Employees CU,"209 Limeridge Road East, Hamilton, ON L9A02S3","209 Limeridge Road East, Hamilton, ON L9A 2S3"
10002957,Vancity Credit Union,"183 Terminal Ave, Vancouver, BC V6A04G2","183 Terminal Ave, Vancouver, BC V6A 4G2"
10001202,Unity Savings & Credit Union,"775 Strand Blvd, Kingston, ON K7P02S7","775 Strand Blvd, Kingston, ON K7P 2S7"
10001744,Libro Financial Group,"217 York St FL 4, London, ON N6A05P9","217 York St FL 4, London, ON N6A 5P9"
10001745,Libro Credit Union,"217 York St Fl 4, London, ON N6A05P9","217 York St Fl 4, London, ON N6A 5P9"
10001773,Bow Valley CU,"212 5th Ave W, Cochrane, AB T4C01A9","212 5th Ave W, Cochrane, AB T4C 1A9"
10002038,First West Credit Union,"6470 201 St, Langley, BC V2Y02X4","6470 201 St, Langley, BC V2Y 2X4"
10002279,Equity Credit Union,"299 Kingston Rd E Unit 1, Ajax, ON L1Z00K5","299 Kingston Rd E Unit 1, Ajax, ON L1Z 0K5"
10002953,Catalyst CU,"505 Main St N Box 340, Dauphin, MB R7N02V2","505 Main St N Box 340, Dauphin, MB R7N 2V2"
10002958,Servus CU,"151 Karl Clark Road NW, Edmonton, AB T6N01H5","151 Karl Clark Road NW, Edmonton, AB T6N 1H5"
10002959,Meridian CU,"75 Corporate Park Dr, St Catharines, ON L2S03W3","75 Corporate Park Dr, St Catharines, ON L2S 3W3"
10002960,Affinity CU,"130 1st Ave N, Saskatoon, SK S7K03P4","130 1st Ave N, Saskatoon, SK S7K 3P4"
10002961,Connect First CU,"200-510 16 Ave NE, Calgary, AB T2E01K4","200-510 16 Ave NE, Calgary, AB T2E 1K4"
10002962,Alterna Savings CU,"165 Attwell Dr, Toronto, ON M9W05Y5","165 Attwell Dr, Toronto, ON M9W 5Y5"
10002963,UNI Financial Cooperation FCU,"295 Saint-Pierre Blvd W, Caraquet, NB E1W01B7","295 Saint-Pierre Blvd W, Caraquet, NB E1W 1B7"
10002964,Blueshore Financial CU,"1250 Lonsdale Ave, North Vancouver, BC V7M02H6","1250 Lonsdale Ave, North Vancouver, BC V7M 2H6"
10002965,First Ontario CU,"970 S Service Rd Ste 301, Stoney Creek, ON L8E06A2","970 S Service Rd Ste 301, Stoney Creek, ON L8E 6A2"
10002966,Westminster Savings CU,"210 - 601 6th St, New Westminster, BC V3L03C1","210 - 601 6th St, New Westminster, BC V3L 3C1"
10002968,Interior Savings CU,"300 - 678 Bernard Ave, Kelowna, BC V1Y06P3","300 - 678 Bernard Ave, Kelowna, BC V1Y 6P3"
10002969,Innovation CU,"198 1st Ave NE, Swift Current, SK S9H03X3","198 1st Ave NE, Swift Current, SK S9H 3X3"
10002970,Access CU,"Unit 2 - 23111 PTH 14, Winkler, MB R6W04B4","Unit 2 - 23111 PTH 14, Winkler, MB R6W 4B4"
10002971,Crosstown Civic CU,"1536 Regent Ave W, Winnipeg, MB R2C03B4","1536 Regent Ave W, Winnipeg, MB R2C 3B4"
10002972,Gulf & Fraser CU,"7375 Kingsway, Burnaby, BC V3N03B5","7375 Kingsway, Burnaby, BC V3N 3B5"
10002973,Your Neighbourhood CU,"38 Executive Pl, Kitchener, ON N2P02N4","38 Executive Pl, Kitchener, ON N2P 2N4"
10002974,Synergy CU,"4907 50 St, Lloydminster, SK S9V00N1","4907 50 St, Lloydminster, SK S9V 0N1"
10002975,Westoba CU Ltd,"220 10th St, Brandon, MB R7A04E8","220 10th St, Brandon, MB R7A 4E8"
10002976,Kindred CU,"1265 Strasburg Rd, Kitchener, ON N2R01S6","1265 Strasburg Rd, Kitchener, ON N2R 1S6"
10002977,Cornerstone CU,"64 Broadway St E, Yorkton, SK S3N02X3","64 Broadway St E, Yorkton, SK S3N 2X3"
10002978,Tandia Financial CU,"75 James St S, Hamilton, ON L8P02Y9","75 James St S, Hamilton, ON L8P 2Y9"
10002979,Vision CU,"5007 - 51 St, Camrose, AB T4V01S6","5007 - 51 St, Camrose, AB T4V 1S6"
10002980,Sunrise CU,"2305 Victoria Ave, Brandon, MB R7B04H7","2305 Victoria Ave, Brandon, MB R7B 4H7"
10002981,Northern Savings CU,"138 Third Ave W, Prince Ruper, BC V8J01K8","138 Third Ave W, Prince Ruper, BC V8J 1K8"
10003898,Coop Central De Credito Do Parana,"Visconde do Rio Branco 253, Curitiba, Paraná 80410-000","Visconde do Rio Branco 253, Curitiba, Paran� 80410-000"
10004062,Mountain View CU,"#401, 6501 - 51 Street, Olds, AB T4H01Y6","#401, 6501 - 51 Street, Olds, AB T4H 1Y6"
10004227,Reddy Kilowatt CU,"885 Topsail Rd, Mount Pearl, NL A1N02C2","885 Topsail Rd, Mount Pearl, NL A1N 2C2"
10002503,Sunova CU,"233 Main Street, Selkirk, MB R1A01S1","233 Main Street, Selkirk, MB R1A 1S1"
10004916,CCEC CU,"2248 Commercial Drive, Vancouver, BC V5N04B5","2248 Commercial Drive, Vancouver, BC V5N 4B5"
10044107,Churchbridge Credit Union,"103 Vincent Avenue, Churchbridge, SK S0A00M0","103 Vincent Avenue, Churchbridge, SK S0A 0M0"
10111362,Servus Credit Union Ltd,"151 Karl Clark Road Northwest, Edmonton, AB T6N01H5","151 Karl Clark Road Northwest, Edmonton, AB T6N 1H5"
10111253,Coast Capital Savings FCU,"9900 King George Blvd, Room 800, Surrey, BC V3Z00P9","9900 King George Blvd, Room 800, Surrey, BC V3Z 0P9"
